LibraryElement, DeclaringType, EntityKind, Count, Status
System.Reflection.MemberInfo.DeclaringType,System.Reflection.MemberInfo,Property,18,1
System.Windows.Forms.ListView.FocusedItem,System.Windows.Forms.ListView,Property,50,1
System.Windows.Forms.ListView.CheckBoxes,System.Windows.Forms.ListView,Property,2,1
System.Windows.Forms.ListView.Columns,System.Windows.Forms.ListView,Property,100,1
System.Windows.Forms.ListView.View,System.Windows.Forms.ListView,Property,16,1
System.Windows.Forms.ListView.MultiSelect,System.Windows.Forms.ListView,Property,16,1
System.Windows.Forms.ListView.LabelEdit,System.Windows.Forms.ListView,Property,16,1
System.Windows.Forms.ListView.HotTracking,System.Windows.Forms.ListView,Property,14,1
System.Windows.Forms.ListView.HideSelection,System.Windows.Forms.ListView,Property,16,1
System.Windows.Forms.ListView.GridLines,System.Windows.Forms.ListView,Property,14,1
System.Windows.Forms.ListView.FullRowSelect,System.Windows.Forms.ListView,Property,16,1
System.Windows.Forms.ListView.ForeColor,System.Windows.Forms.ListView,Property,16,1
System.Windows.Forms.ListView.BorderStyle,System.Windows.Forms.ListView,Property,16,1
System.Windows.Forms.ListView.BackColor,System.Windows.Forms.ListView,Property,16,1
System.Windows.Forms.ListView.Items,System.Windows.Forms.ListView,Property,108,1
UpgradeHelpers.DB.Controls.DataControlHelper.Refresh,UpgradeHelpers.DB.Controls.DataControlHelper,Method,9,1
UpgradeHelpers.DB.Controls.DataControlHelper.UserName,UpgradeHelpers.DB.Controls.DataControlHelper,Property,6,1
UpgradeHelpers.DB.Controls.DataControlHelper.Text,UpgradeHelpers.DB.Controls.DataControlHelper,Property,6,1
UpgradeHelpers.DB.Controls.DataControlHelper.RecordSource,UpgradeHelpers.DB.Controls.DataControlHelper,Property,6,1
UpgradeHelpers.DB.Controls.DataControlHelper.QueryType,UpgradeHelpers.DB.Controls.DataControlHelper,Property,6,1
UpgradeHelpers.DB.Controls.DataControlHelper.QueryTimeout,UpgradeHelpers.DB.Controls.DataControlHelper,Property,6,1
UpgradeHelpers.DB.Controls.DataControlHelper.Password,UpgradeHelpers.DB.Controls.DataControlHelper,Property,6,1
UpgradeHelpers.DB.Controls.DataControlHelper.FactoryName,UpgradeHelpers.DB.Controls.DataControlHelper,Property,6,1
UpgradeHelpers.DB.Controls.DataControlHelper.ConnectionString,UpgradeHelpers.DB.Controls.DataControlHelper,Property,12,1
UpgradeHelpers.DB.Controls.DataControlHelper.ForeColor,UpgradeHelpers.DB.Controls.DataControlHelper,Property,3,0
UpgradeHelpers.DB.Controls.DataControlHelper.Font,UpgradeHelpers.DB.Controls.DataControlHelper,Property,3,0
UpgradeHelpers.DB.Controls.DataControlHelper.EOFAction,UpgradeHelpers.DB.Controls.DataControlHelper,Property,3,0
UpgradeHelpers.DB.Controls.DataControlHelper.BOFAction,UpgradeHelpers.DB.Controls.DataControlHelper,Property,3,0
UpgradeHelpers.DB.Controls.DataControlHelper.BackColor,UpgradeHelpers.DB.Controls.DataControlHelper,Property,3,0
System.Windows.Forms.ListView,System.Windows.Forms.ListView,Type,17,1
System.Windows.Forms.ListView..ctor,System.Windows.Forms.ListView,Method,8,1
UpgradeHelpers.Gui.Controls.ListControlExtenders.GetNewIndex,UpgradeHelpers.Gui.Controls.ListControlExtenders,Method,2,1
UpgradeHelpers.Gui.Controls.ListControlExtenders.SetItemData,UpgradeHelpers.Gui.Controls.ListControlExtenders,Method,2,1
UpgradeHelpers.Gui.Controls.ListControlExtenders.AddItem,UpgradeHelpers.Gui.Controls.ListControlExtenders,Method,8,1
UpgradeHelpers.Gui.Controls.ListControlExtenders.GetItemData,UpgradeHelpers.Gui.Controls.ListControlExtenders,Method,4,1
System.Windows.Forms.DataSourceUpdateMode.OnPropertyChanged,System.Windows.Forms.DataSourceUpdateMode,Field,76,1
SKS.frmAddProductTo.cmdSave_Click.productCode,SKS.frmAddProductTo.cmdSave_Click.productCode,Type,6,1
System.Windows.Forms.Keys,System.Windows.Forms.Keys,Type,60,1
System.Windows.Forms.DataSourceUpdateMode,System.Windows.Forms.DataSourceUpdateMode,Type,38,1
System.Windows.Forms.Keys.Tab,System.Windows.Forms.Keys,Field,12,1
System.Windows.Forms.Keys.Down,System.Windows.Forms.Keys,Field,12,1
System.Windows.Forms.Keys.Up,System.Windows.Forms.Keys,Field,12,1
System.Windows.Forms.Keys.Right,System.Windows.Forms.Keys,Field,12,1
System.Windows.Forms.Keys.Left,System.Windows.Forms.Keys,Field,12,1
System.Windows.Forms.Keys.Delete,System.Windows.Forms.Keys,Field,12,1
System.Windows.Forms.Keys.Clear,System.Windows.Forms.Keys,Field,12,1
System.Windows.Forms.Keys.Back,System.Windows.Forms.Keys,Field,12,1
System.Windows.Forms.Keys.D9,System.Windows.Forms.Keys,Field,12,1
System.Windows.Forms.Keys.D0,System.Windows.Forms.Keys,Field,12,1
SKS.frmActionOrderReception.DefInstance,SKS.frmActionOrderReception,Property,6,1
SKS.frmActionOrderReception.AddToTotals,SKS.frmActionOrderReception,Method,2,1
SKS.frmActionOrderReception.Form_Closed,SKS.frmActionOrderReception,Method,1,1
SKS.frmActionOrderReception.frmActionOrderReception_Activated,SKS.frmActionOrderReception,Method,1,1
SKS.frmActionOrderReception.DisplayTotals,SKS.frmActionOrderReception,Method,2,1
